Area,Location,No. of Bedrooms,City,CarParking,SwimmingPool,24X7Security,LiftAvailable,ClubHouse,Price
1720,235,3.0,0,0.0,1.0,1.0,0.0,0.0,9382000.0
1325,235,2.0,0,0.0,1.0,1.0,0.0,0.0,7344000.0
1270,235,2.0,0,0.0,1.0,1.0,0.0,0.0,7091000.0
1320,274,3.0,0,1.0,1.0,0.0,1.0,1.0,6279000.0
1100,274,2.0,0,1.0,1.0,0.0,1.0,1.0,5306000.0
1405,274,3.0,0,1.0,1.0,0.0,1.0,1.0,6655000.0
1075,274,2.0,0,1.0,1.0,0.0,1.0,1.0,5195000.0
1140,274,2.0,0,1.0,1.0,0.0,1.0,1.0,5483000.0
1150,274,2.0,0,1.0,1.0,0.0,1.0,1.0,5527000.0
1350,274,3.0,0,1.0,1.0,0.0,1.0,1.0,6412000.0
1265,274,3.0,0,1.0,1.0,0.0,1.0,1.0,6036000.0
1015,274,2.0,0,1.0,1.0,0.0,1.0,1.0,4930000.0
1395,274,3.0,0,1.0,1.0,0.0,1.0,1.0,6611000.0
1070,274,2.0,0,1.0,1.0,0.0,1.0,1.0,5173000.0
1270,274,3.0,0,1.0,1.0,0.0,1.0,1.0,6058000.0
1320,274,3.0,0,1.0,1.0,0.0,1.0,1.0,6279000.0
1050,274,2.0,0,1.0,1.0,0.0,1.0,1.0,5085000.0
1355,274,3.0,0,1.0,1.0,0.0,1.0,1.0,6434000.0
1090,274,2.0,0,1.0,1.0,0.0,1.0,1.0,5262000.0
1485,710,3.0,0,0.0,1.0,0.0,1.0,0.0,6681999.0
1450,710,3.0,0,0.0,1.0,0.0,1.0,0.0,6525000.0
1555,710,3.0,0,0.0,1.0,0.0,1.0,0.0,6997000.0
1355,710,3.0,0,0.0,1.0,0.0,1.0,0.0,6097000.0
1360,710,3.0,0,0.0,1.0,0.0,1.0,0.0,6120000.0
1365,710,3.0,0,0.0,1.0,0.0,1.0,0.0,6142000.0
1495,710,3.0,0,0.0,1.0,0.0,1.0,0.0,6727000.0
1395,710,3.0,0,0.0,1.0,0.0,1.0,0.0,6277000.0
